Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Gambia, The",GMB,"Intentional homicides, male (per 100,000 male)",VC.IHR.PSRC.MA.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gambia, The",GMB,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162000,,,,700,7800
"Gambia, The",GMB,"Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval",VA.PER.RNK.LOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,10.9452734,,9.452735901,,19.90049744,25.37313461,19.23077011,8.653845787,16.82692337,15.38461494,15.86538506,13.27014256,12.32227516,8.450704575,6.103286266,6.572770119,6.403940678,4.433497429,7.881773472,23.64532089,32.52427292,32.85024261,34.78260803,36.231884,38.64734268
"Gambia, The",GMB,Travel services (% of commercial service exports),TX.VAL.TRVL.ZS.WT,,,,,,,,,,,,,,,,,,,69.08194234,78.79220162,100,100,61.05006105,59.0732878,70.98795773,76.37324295,78.59389196,87.07782201,86.64661027,85.93283582,87.86018279,84.59824002,83.47413569,83.172147,87.28639592,73.36597711,74.94927092,77.73146368,,,,,,67.03784071,64.71420395,70.77430615,71.86345186,66.08620796,68.33114925,59.99001439,56.35178541,57.65314328,63.39964844,54.60701362,72.70423003,78.19386363,86.88253385,88.17727955,77.91962112,73.87096749,44.10632825,55.2888236,
"Gambia, The",GMB,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,,,,,,,,,,,,,,,,,,,12638168.26,22272637.21,18710238.85,17762299.84,17885921.74,20530023.9,22706105.68,25760978.66,20662902.15,44029174.96,50044546.7,45941344.98,54574238.7,59595970.06,69192864.88,62962869.09,75242875.56,38087794.8,86518831.44,94315125.57,,,,,,69941620.97,71558575.98,82210476.83,92079930.24,127945912.5,117578078,104194780.6,130644790.3,135423293.9,148895737.7,130098272.9,144994366.6,107074012.7,96227622.29,138730018.9,204815332.8,205748483.5,105626034.2,103792193.4,
"Gambia, The",GMB,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,,,,8673000,9239000,14811000,17187000,14875000,17707000,15641000,14717000,17422000,19302000,24908000,39270000,48658000,35132000,47496000,44844000,57917000,30340000,33340790.26,41671150.23,58360241.14,45800992.53,27274446.42,32433777.96,62825960.55,96492223.83,138350138.4,172309740.3,165972158.1,231678104.4,96907630.48,35276720.4,27762838.81,22449818.73,14688203.37,29324444.95,8199758.522,16301403,9350913,20015731,3245809,17970394,5449741,11227686,13347443,13933571,38272647,66855614,96090606,120206056,108539590,106868167,83901586,35204634,15149416,13152946,25448783,27398375,,
"Gambia, The",GMB,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,,,,,,,,,,0.019180359,0.027179452,0.172196074,,,,,,,,,,,,,,,,0.014469988,,0.000944598,2.086375915,0.298055498,0.032176305,0.004798959,0.141506362,0.073953613,,0.15084567,0.093879264,0.035317915,0.087139739,0.029644164,,0.464876399,0.082930847,0.009248146,2.25599469,0.01439227,0.149107504,0.258482252,0.046950433,0.097854519,0.131383564,0.039167275,0.007938753,0.32232287,0.091019268,0.668487815,1.114769269,0.373758541,0.036177328,,
"Gambia, The",GMB,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,,,,,,0.020255216,,,0.022589936,0.076721437,0.027179452,0.218115027,,0.048177292,,0.006165482,0.054081749,0.105272023,,0.017266088,0.184574819,0.190866393,0.010907917,,0.138941014,0.036664356,0.588611944,0.076690938,0.011732413,0.131708658,2.605268207,0.985396486,0.416835973,6.349552089,14.5168357,6.067969408,8.519107193,15.28413718,6.182574342,4.722968418,1.582250313,5.087353502,1.789267652,12.22330088,3.012020771,7.90980709,9.481241282,4.207832167,22.4185243,17.58157726,11.8414289,6.576355653,11.06741411,9.275273658,13.9426823,10.79412968,44.32071357,29.71601017,20.10551096,24.35185604,15.38540151,,
"Gambia, The",GMB,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,0.008257029,,,,,,,0,,,0,0,,0,,,,,,,,,,,,,,,,,,1.038933006,6.476579888,0.980600776,0.474663642,0.131063018,0,0,,0.818503619,0.985833565,0.042571725,0.803704369,0,19.70916368,17.48420457,9.994344532,9.379455777,0.457866016,1.163324145,2.505105347,0.131946,0.42115511,0.319245723,1.963709862,6.860564365,7.459449897,2.005146685,
"Gambia, The",GMB,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0.169161581,0.235338522,0.366525645,0.01738337,0.132763866,0,0,0.006927662,0,,,,,0,0,0.000103524,0,0,0,0,0,0,0,0,0,0,45.66505413,
